sample,adc,filtered,lead_off
389,6867,-681.22,0
390,6535,-610.01,0
391,5576,-524.80,0
392,4565,-440.05,0
393,4035,-370.37,0
394,4288,-323.67,0
395,5179,-297.56,0
396,6268,-281.53,0
397,6929,-263.20,0
398,6789,-235.28,0
399,5923,-199.75,0
400,4761,-167.24,0
401,3969,-151.56,0
402,3927,-162.27,0
403,4646,-198.88,0
404,5790,-250.31,0
405,6743,-299.43,0
406,6984,-330.05,0
407,6409,-333.09,0
408,5333,-309.59,0
409,4402,-269.16,0
410,4080,-224.56,0
411,4546,-185.57,0
412,5583,-155.46,0
413,6635,-131.63,0
414,7109,-108.94,0
415,6740,-83.84,0
416,5750,-57.36,0
417,4695,-35.01,0
418,4151,-23.39,0
419,4413,-25.29,0
420,5333,-36.82,0
421,6480,-48.46,0
422,7183,-49.43,0
423,7078,-32.94,0
424,6241,0.10,0
425,5125,41.05,0
426,4370,77.64,0
427,4349,100.21,0
428,5068,106.45,0
429,6209,101.94,0
430,7105,96.60,0
431,7282,99.48,0
432,6626,114.16,0
433,5470,136.71,0
434,4453,157.33,0
435,4093,164.93,0
436,4548,152.61,0
437,5590,120.83,0
438,6657,76.97,0
439,7144,32.03,0
440,6777,-3.97,0
441,5793,-25.81,0
442,4750,-34.41,0
443,4269,-34.33,0
444,4585,-29.23,0
445,5568,-18.30,0
446,6711,3.46,0
447,7358,41.40,0
448,7182,96.24,0
449,6267,160.74,0
450,5084,220.71,0
451,4291,260.14,0
452,4283,268.13,0
453,5031,243.99,0
454,6163,197.57,0
455,7037,144.72,0
456,7183,100.44,0
457,6547,73.23,0
458,5487,63.09,0
459,4612,64.17,0
460,4399,70.07,0
461,4955,78.54,0
462,6034,92.48,0
463,7032,117.10,0
464,7418,155.28,0
465,6976,204.06,0
466,5961,254.19,0
467,4938,293.49,0
468,4467,312.58,0
469,4785,309.93,0
470,5728,292.98,0
471,6820,274.57,0
472,7457,266.68,0
473,7304,275.07,0
474,6449,297.21,0
475,5364,324.33,0
476,4648,346.36,0
477,4661,357.10,0
478,5374,356.83,0
479,6431,350.79,0
480,7214,344.96,0
481,7294,341.96,0
482,6611,339.28,0
483,5558,330.73,0
484,4710,310.58,0
485,4516,278.15,0
486,5068,239.90,0
487,6113,207.23,0
488,7063,191.11,0
489,7380,196.60,0
490,6893,219.95,0
491,5852,249.47,0
492,4813,270.33,0
493,4334,271.04,0
494,4635,248.51,0
495,5543,209.01,0
496,6531,164.30,0
497,7141,125.31,0
498,6887,97.16,0
499,5941,77.60,0
