sample,adc,filtered,lead_off
502,3929,4387.03,0
503,3315,3580.14,0
504,3052,2506.93,0
505,3081,1265.99,0
506,3313,-11.83,0
507,3646,-1188.42,0
508,3989,-2144.47,0
509,4293,-2799.59,0
510,4539,-3123.08,0
511,4741,-3133.81,0
512,4906,-2890.99,0
513,5033,-2478.71,0
514,5122,-1988.43,0
515,5169,-1503.12,0
516,5169,-1085.66,0
517,5120,-773.05,0
518,5052,-576.41,0
519,4996,-485.80,0
520,4970,-477.72,0
521,4974,-523.06,0
522,5010,-593.84,0
523,5054,-667.60,0
524,5084,-729.20,0
525,5084,-770.52,0
526,5063,-789.08,0
527,5034,-786.45,0
528,5020,-766.87,0
529,5029,-736.19,0
530,5068,-700.90,0
531,5124,-667.02,0
532,5164,-638.98,0
533,5173,-618.66,0
534,5150,-605.34,0
535,5114,-596.43,0
536,5095,-588.72,0
537,5107,-579.63,0
538,5149,-567.81,0
539,5207,-553.30,0
540,5264,-536.94,0
541,5298,-519.68,0
542,5296,-501.87,0
543,5262,-483.05,0
544,5224,-462.53,0
545,5191,-440.19,0
546,5189,-417.24,0
547,5225,-396.18,0
548,5277,-379.95,0
549,5319,-370.47,0
550,5328,-367.51,0
551,5297,-368.61,0
552,5261,-370.08,0
553,5247,-368.56,0
554,5262,-362.15,0
555,5306,-350.77,0
556,5364,-335.75,0
557,5411,-319.06,0
558,5429,-302.30,0
559,5408,-286.17,0
560,5374,-270.49,0
561,5353,-254.68,0
562,5358,-238.34,0
563,5387,-221.60,0
564,5442,-205.16,0
565,5480,-190.00,0
566,5503,-176.90,0
567,5499,-166.04,0
568,5474,-156.76,0
569,5452,-147.79,0
570,5455,-137.68,0
571,5476,-125.47,0
572,5531,-111.07,0
573,5602,-95.14,0
574,5645,-78.58,0
575,5651,-61.84,0
576,5625,-44.75,0
577,5601,-26.91,0
578,5569,-8.10,0
579,5563,11.23,0
580,5604,29.81,0
581,5651,45.79,0
582,5702,57.68,0
583,5732,65.11,0
584,5729,69.31,0
585,5714,72.76,0
586,5705,78.37,0
587,5703,88.44,0
588,5738,103.77,0
589,5789,123.44,0
590,5841,145.28,0
591,5873,166.83,0
592,5870,186.32,0
593,5838,203.11,0
594,5808,217.49,0
595,5787,230.11,0
596,5826,241.41,0
597,5889,251.56,0
598,5954,260.78,0
599,6000,269.67,0
600,6015,279.20,0
601,5993,290.44,0
602,5956,304.17,0
603,5942,320.43,0
604,5958,338.42,0
605,5999,356.73,0
606,6054,373.83,0
607,6105,388.49,0
608,6128,400.21,0
609,6122,409.46,0
610,6106,417.49,0
611,6100,425.97,0
612,6111,436.43,0
613,6142,449.79,0
614,6185,465.91,0
615,6223,483.55,0
616,6233,500.73,0
617,6202,515.36,0
618,6150,525.76,0
619,6106,530.90,0
620,6081,530.45,0
621,6082,524.82,0
622,6122,514.86,0
623,6170,501.76,0
624,6201,487.02,0
625,6192,472.40,0
626,6152,459.64,0
627,6109,449.95,0
628,6078,443.68,0
629,6076,440.35,0
630,6109,438.81,0
631,6158,437.67,0
632,6193,435.83,0
633,6202,432.81,0
634,6165,428.78,0
635,6114,424.30,0
636,6078,419.84,0
637,6069,415.54,0
638,6083,411.22,0
639,6111,406.51,0
640,6123,400.81,0
641,6104,393.31,0
642,6054,383.04,0
643,5988,369.07,0
644,5917,350.82,0
645,5870,328.24,0
646,5858,301.74,0
647,5867,272.08,0
648,5873,240.17,0
649,5859,206.88,0
650,5808,172.84,0
651,5730,138.38,0
652,5647,103.55,0
653,5585,68.19,0
654,5560,32.12,0
655,5570,-4.62,0
656,5595,-41.63,0
657,5605,-78.09,0
658,5573,-112.92,0
659,5506,-145.22,0
660,5438,-174.63,0
661,5387,-201.42,0
662,5372,-226.14,0
663,5398,-249.14,0
664,5450,-270.28,0
665,5497,-288.83,0
666,5511,-303.72,0
667,5482,-313.90,0
668,5438,-318.89,0
669,5389,-319.08,0
670,5362,-315.69,0
671,5366,-310.45,0
672,5402,-305.29,0
673,5450,-301.88,0
674,5474,-301.11,0
675,5462,-302.88,0
676,5426,-306.30,0
677,5383,-310.07,0
678,5367,-312.94,0
679,5382,-313.90,0
680,5428,-312.31,0
681,5482,-307.88,0
682,5522,-300.72,0
683,5528,-291.26,0
684,5503,-280.16,0
685,5467,-268.20,0
686,5441,-256.03,0
687,5443,-244.14,0
688,5473,-232.79,0
689,5520,-222.11,0
690,5558,-212.26,0
691,5562,-203.47,0
692,5544,-196.06,0
693,5508,-190.24,0
694,5479,-185.96,0
695,5473,-182.69,0
696,5501,-179.57,0
697,5553,-175.65,0
698,5605,-170.19,0
699,5627,-162.85,0
700,5612,-153.77,0
701,5561,-143.65,0
702,5510,-133.64,0
703,5480,-125.10,0
704,5484,-119.18,0
705,5517,-116.48,0
706,5564,-116.94,0
707,5598,-119.88,0
708,5599,-124.23,0
709,5573,-128.74,0
710,5544,-132.20,0
711,5512,-133.60,0
712,5503,-132.30,0
713,5516,-128.26,0
714,5545,-122.29,0
715,5567,-115.98,0
716,5567,-111.26,0
717,5539,-109.76,0
718,5500,-112.29,0
719,5474,-118.52,0
720,5476,-126.98,0
721,5502,-135.42,0
722,5539,-141.49,0
723,5601,-143.54,0
724,5573,-141.07,0
725,5551,-135.00,0
726,5507,-127.50,0
727,5461,-121.21,0
728,5435,-118.11,0
729,5436,-119.00,0
730,5465,-123.51,0
731,5500,-130.58,0
732,5517,-138.97,0
733,5508,-147.64,0
734,5474,-155.90,0
735,5425,-163.32,0
736,5394,-169.69,0
737,5391,-174.83,0
738,5416,-178.66,0
739,5451,-181.19,0
740,5477,-182.62,0
741,5475,-183.44,0
742,5434,-184.33,0
743,5376,-186.08,0
744,5331,-189.38,0
745,5311,-194.69,0
746,5325,-201.97,0
747,5359,-210.69,0
748,5398,-220.04,0
749,5409,-229.10,0
750,5390,-237.10,0
751,5349,-243.58,0
752,5312,-248.34,0
753,5296,-251.35,0
754,5307,-252.58,0
755,5347,-251.99,0
756,5394,-249.59,0
757,5417,-245.61,0
758,5402,-240.46,0
759,5364,-234.88,0
760,5317,-229.78,0
761,5290,-225.98,0
762,5289,-223.87,0
763,5316,-223.31,0
764,5365,-223.76,0
765,5401,-224.51,0
766,5409,-224.86,0
767,5381,-224.29,0
768,5335,-222.61,0
769,5298,-219.94,0
770,5290,-216.66,0
771,5307,-213.16,0
772,5348,-209.75,0
773,5389,-206.62,0
774,5402,-203.89,0
775,5383,-201.63,0
776,5343,-199.89,0
777,5309,-198.64,0
778,5297,-197.71,0
